marca|modelo|categoria|precio_mxn|rango|combustible|transmision|url
BMW|BMW i5 M60 xDrive|Sedán|2244900.0|Más de $1,200,000|eléctrico|automática|https://www.autocosmos.com.mx/catalogo/2026/bmw/i5-m60/xdrive/172719
BMW|BMW i7 eDrive50|Sedán|2715900.0|Más de $1,200,000|eléctrico|automática 8 velocidades Steptronic|https://www.autocosmos.com.mx/catalogo/2026/bmw/i7/edrive50/172743
BMW|BMW i7 M70 xDrive|Sedán|3849900.0|Más de $1,200,000|eléctrico|automática 8 velocidades Steptronic|https://www.autocosmos.com.mx/catalogo/2026/bmw/i7/m70-xdrive/172744
BMW|BMW iX xDrive45|SUV|1799900.0|Más de $1,200,000|eléctrico|automática|https://www.autocosmos.com.mx/catalogo/2026/bmw/ix/xdrive45/172909
BMW|BMW iX xDrive60|SUV|2069900.0|Más de $1,200,000|eléctrico|automática|https://www.autocosmos.com.mx/catalogo/2026/bmw/ix/xdrive60/172910
BMW|BMW iX1 eDrive20|SUV|1159900.0|$1,150,000 – $1,199,999|eléctrico|automática|https://www.autocosmos.com.mx/catalogo/2026/bmw/ix1/edrive20/172611
BMW|BMW iX2 xDrive30|SUV||No disponible|eléctrico|automática|https://www.autocosmos.com.mx/catalogo/2026/bmw/ix2/xdrive30/172739
BMW|BMW M2 Coupé Competition Aut|Coupé|1764900.0|Más de $1,200,000|Gasolina|automática doble embrague, 7 velocidades|https://www.autocosmos.com.mx/catalogo/2026/bmw/m2-coupe/competition-aut/172734
BMW|BMW M3 Sedán Competition|Sedán|2199900.0|Más de $1,200,000|Gasolina|automática 8 velocidades Steptronic|https://www.autocosmos.com.mx/catalogo/2026/bmw/m3-sedan/competition/172737
BMW|BMW M4 Coupé Competition|Coupé|2264900.0|Más de $1,200,000|Gasolina|automática 8 velocidades Steptronic|https://www.autocosmos.com.mx/catalogo/2026/bmw/m4-coupe/competition/172724
